iter	RMSE
155	0.7161564212
156	0.7161539173
157	0.716149818
158	0.7161459632
159	0.7161411944
160	0.716136844
161	0.7161318151
162	0.7161285352
163	0.7161250036
164	0.7161218614
165	0.7161183979
166	0.7161165849
167	0.7161123511
168	0.7161104112
169	0.7161056708
170	0.7161022783
171	0.7160988958
172	0.7160955819
173	0.7160921414
174	0.7160903194
175	0.7160880217
176	0.7160860504
177	0.7160815821
178	0.7160786563
179	0.716075772
180	0.7160743318
181	0.7160725591
182	0.7160704281
183	0.7160682649
184	0.7160665481
185	0.7160639637
186	0.7160617234
187	0.7160591426
188	0.7160566742
189	0.7160534273
190	0.7160508553
191	0.7160472422
192	0.7160440945
193	0.7160423091
194	0.7160394494
195	0.7160366143
196	0.7160348504
197	0.7160323553
198	0.7160299459
199	0.7160273485
200	0.7160241819
201	0.7160206698
202	0.7160164082
203	0.7160144975
204	0.7160127798
205	0.7160102978
206	0.7160080258
207	0.7160048718
208	0.7160019207
209	0.715998974
210	0.7159962682
211	0.7159923246
212	0.7159908731
213	0.7159886289
214	0.7159868614
215	0.7159846168
216	0.715982826
217	0.7159793384
218	0.7159787397
219	0.7159773606
220	0.7159754582
221	0.7159732182
222	0.7159713197
223	0.71596758
224	0.7159657684
225	0.7159635391
226	0.715961505
227	0.715961505
228	0.7159597725
229	0.7159585258
230	0.7159564854
231	0.7159545654
232	0.7159511735
233	0.7159494062
234	0.7159472367
235	0.7159445351
236	0.7159426785
237	0.7159410684
238	0.7159395626
239	0.715936532
240	0.715934197
241	0.7159333163
242	0.7159298451
243	0.7159274246
244	0.715925498
245	0.7159232026
246	0.7159208065
247	0.7159198634
248	0.7159168523
249	0.7159142915
250	0.7159123761
251	0.7159102151
252	0.715909078
253	0.7159077675
254	0.7159057708
255	0.715903194
256	0.7159017472
257	0.7158991879
258	0.715896197
259	0.7158948508
260	0.7158943729
261	0.7158917755
262	0.715889914
263	0.7158874061
264	0.7158853992
265	0.7158819886
266	0.7158805899
267	0.7158773114
268	0.7158744883
269	0.7158734511
270	0.7158721028
271	0.7158702077
272	0.7158687684
273	0.7158676725
274	0.7158667926
275	0.7158653359
276	0.7158640517
277	0.7158619049
278	0.7158589538
279	0.7158574058
280	0.7158537944
281	0.7158515434
282	0.7158493362
283	0.7158469977
284	0.7158453705
285	0.7158440955
286	0.7158426067
287	0.7158413686
288	0.7158400669
289	0.7158389298
290	0.7158374267
291	0.715834638
292	0.7158317245
293	0.7158306328
294	0.7158286038
295	0.7158274293
296	0.7158248439
297	0.7158225597
298	0.7158203247
299	0.7158187896
300	0.715817537
301	0.7158151739
302	0.7158127148
303	0.71581105
304	0.7158061673
305	0.7158040832
306	0.7158013072
307	0.715799865
308	0.715798853
309	0.7157962339
310	0.7157936757
311	0.7157914993
312	0.7157890597
313	0.7157876028
314	0.7157863597
315	0.7157848851
316	0.7157826477
317	0.7157808927
318	0.7157783299
319	0.7157769107
320	0.7157752917
321	0.7157731497
322	0.7157715719
323	0.7157695551
324	0.7157686958
325	0.7157668768
326	0.7157640117
327	0.7157614221
328	0.7157587344
329	0.7157570234
330	0.7157556871
331	0.7157539642
332	0.7157526789
333	0.7157515289
334	0.715750081
335	0.7157477816
336	0.7157459346
337	0.7157448294
338	0.7157429425
339	0.7157415071
340	0.7157394948
341	0.7157375407
342	0.7157358945
343	0.7157327443
344	0.7157278758
345	0.7157267019
346	0.7157267019
347	0.7157250088
348	0.7157216021
349	0.7157197559
350	0.7157178489
351	0.7157157536
352	0.7157147271
353	0.7157124823
354	0.7157087392
355	0.7157078808
356	0.7157065241
357	0.7157045715
358	0.7157025716
359	0.7156988648
360	0.7156966065
361	0.7156954273
362	0.7156937018
363	0.7156925677
364	0.7156909959
365	0.7156897484
366	0.715687316
367	0.7156858576
368	0.715684261
369	0.715682327
370	0.7156802628
371	0.7156789224
372	0.7156769045
373	0.7156753587
374	0.7156748357
375	0.7156722404
376	0.7156693925
377	0.7156677319
378	0.7156654886
379	0.7156637105
380	0.7156622294
381	0.7156609211
382	0.7156600674
383	0.7156593496
384	0.7156558691
385	0.715654357
386	0.7156525136
387	0.7156504068
388	0.7156484236
389	0.7156464142
390	0.7156442314
391	0.7156433918
392	0.7156401645
393	0.7156401645
394	0.7156386137
395	0.7156365242
396	0.7156348416
397	0.7156323345
398	0.7156303392
399	0.7156281659
400	0.7156265312
401	0.7156238632
402	0.7156213433
403	0.7156185303
404	0.7156185303
405	0.7156171036
406	0.7156157776
407	0.7156143286
408	0.7156115465
409	0.7156115465
410	0.7156097546
411	0.7156080824
412	0.7156069069
413	0.7156051476
414	0.7156044861
415	0.7156026095
416	0.715599635
417	0.7155984029
418	0.7155955095
419	0.7155921609
420	0.7155903535
421	0.7155888994
422	0.7155873493
423	0.7155856374
424	0.7155839439
425	0.7155829868
426	0.7155811217
427	0.7155790614
428	0.7155785871
429	0.7155768044
430	0.7155753737
431	0.7155730785
432	0.7155713336
433	0.7155688136
434	0.7155688136
435	0.7155673388
436	0.7155656601
437	0.7155638184
438	0.7155615078
439	0.7155594262
440	0.715558356
441	0.7155558403
442	0.7155532727
443	0.7155513971
444	0.7155508227
445	0.7155496818
446	0.7155470926
447	0.7155444975
448	0.7155410207
449	0.7155376451
450	0.715536441
451	0.715534022
452	0.7155322691
