iter	Passed	Remaining
402	10728	31864
403	10753	31833
404	10757	31741
405	10773	31684
406	10800	31659
407	10825	31628
408	10852	31602
409	10857	31512
410	10884	31487
411	10910	31459
412	10936	31431
413	10961	31403
414	10987	31372
415	11012	31343
416	11039	31316
417	11065	31291
418	11091	31263
419	11117	31235
420	11142	31204
421	11167	31174
422	11193	31146
423	11215	31107
424	11239	31072
425	11266	31049
426	11293	31024
427	11321	31002
428	11341	30958
429	11369	30936
430	11394	30906
431	11420	30878
432	11446	30850
433	11469	30813
434	11474	30730
435	11499	30701
436	11526	30676
437	11551	30644
438	11577	30618
439	11603	30590
440	11627	30558
441	11656	30539
442	11682	30511
443	11711	30492
444	11734	30456
445	11758	30423
446	11784	30397
447	11809	30368
448	11835	30340
449	11857	30302
450	11882	30272
451	11907	30242
452	11934	30217
453	11954	30175
454	11981	30151
455	12008	30126
456	12033	30097
457	12057	30064
458	12081	30033
459	12107	30005
460	12134	29981
461	12160	29953
462	12185	29925
463	12212	29898
464	12238	29872
465	12263	29842
466	12289	29814
467	12314	29785
468	12334	29743
469	12357	29710
470	12381	29679
471	12409	29655
472	12435	29629
473	12459	29598
474	12485	29571
475	12506	29531
476	12531	29502
477	12555	29472
478	12582	29447
479	12608	29419
480	12634	29392
481	12659	29364
482	12687	29342
483	12715	29318
484	12738	29285
485	12762	29253
486	12786	29223
487	12813	29197
488	12839	29170
489	12862	29137
490	12887	29107
491	12910	29075
492	12938	29053
493	12963	29023
494	12989	28996
495	13014	28967
496	13035	28930
497	13061	28904
498	13087	28875
499	13111	28845
500	13136	28816
501	13160	28785
502	13180	28745
503	13206	28718
504	13234	28695
505	13257	28664
506	13285	28641
507	13310	28612
508	13333	28578
509	13357	28547
510	13381	28516
511	13421	28520
512	13455	28511
513	13479	28480
514	13505	28452
515	13528	28421
516	13554	28393
517	13581	28368
518	13609	28347
519	13635	28319
520	13661	28292
521	13685	28262
522	13709	28231
523	13736	28208
524	13761	28178
525	13787	28151
526	13812	28122
527	13838	28096
528	13865	28072
529	13890	28043
530	13918	28019
531	13945	27995
532	13971	27970
533	13999	27946
534	14028	27926
535	14071	27932
536	14108	27927
537	14137	27907
538	14167	27887
539	14192	27858
540	14218	27832
541	14245	27808
542	14278	27794
543	14310	27778
544	14340	27759
545	14366	27733
546	14394	27709
547	14419	27682
548	14444	27653
549	14469	27622
550	14494	27594
551	14521	27569
552	14544	27537
553	14570	27509
554	14595	27481
555	14621	27454
556	14646	27426
557	14672	27399
558	14696	27367
559	14725	27347
560	14755	27327
561	14786	27309
562	14815	27288
563	14843	27266
564	14874	27247
565	14904	27228
566	14931	27203
567	14959	27180
568	14987	27157
569	15016	27134
570	15041	27105
571	15066	27078
572	15094	27054
573	15120	27026
574	15147	27002
575	15182	26990
576	15212	26971
577	15242	26951
578	15273	26933
579	15300	26908
580	15328	26884
581	15358	26864
582	15386	26840
583	15414	26816
584	15440	26789
585	15466	26763
586	15495	26741
587	15519	26710
588	15544	26681
589	15573	26658
590	15599	26631
591	15628	26610
592	15656	26587
593	15683	26560
594	15711	26538
595	15738	26512
596	15764	26485
597	15789	26456
598	15815	26430
599	15840	26401
600	15863	26368
601	15891	26344
602	15917	26317
603	15942	26289
604	15969	26263
605	15995	26236
