iter	Passed	Remaining
401	15219	45356
402	15257	45316
403	15290	45266
404	15325	45220
405	15362	45180
406	15400	45142
407	15438	45103
408	15475	45064
409	15512	45024
410	15551	44988
411	15588	44949
412	15626	44912
413	15666	44880
414	15702	44837
415	15742	44805
416	15781	44769
417	15819	44733
418	15855	44689
419	15890	44644
420	15930	44612
421	15971	44582
422	16008	44544
423	16045	44503
424	16084	44468
425	16122	44432
426	16157	44385
427	16195	44347
428	16244	44342
429	16284	44310
430	16319	44263
431	16358	44228
432	16391	44177
433	16429	44138
434	16461	44086
435	16498	44046
436	16533	44000
437	16569	43957
438	16605	43916
439	16639	43868
440	16674	43822
441	16713	43786
442	16750	43748
443	16787	43707
444	16821	43661
445	16856	43615
446	16891	43570
447	16927	43528
448	16962	43482
449	16995	43433
450	17031	43389
451	17068	43350
452	17105	43311
453	17142	43271
454	17177	43226
455	17213	43185
456	17253	43152
457	17287	43104
458	17323	43062
459	17358	43019
460	17395	42979
461	17432	42938
462	17465	42889
463	17503	42853
464	17539	42812
465	17575	42769
466	17610	42725
467	17644	42677
468	17680	42637
469	17724	42613
470	17759	42569
471	17802	42545
472	17841	42511
473	17878	42471
474	17915	42430
475	17952	42391
476	17985	42342
477	18020	42299
478	18054	42253
479	18090	42210
480	18127	42170
481	18160	42124
482	18194	42078
483	18232	42039
484	18267	41996
485	18307	41964
486	18346	41928
487	18382	41888
488	18414	41838
489	18451	41797
490	18486	41754
491	18523	41714
492	18557	41670
493	18592	41627
494	18632	41593
495	18670	41556
496	18708	41519
497	18744	41477
498	18781	41440
499	18816	41396
500	18852	41353
501	18888	41312
502	18924	41272
503	18960	41231
504	18997	41191
505	19031	41146
506	19066	41104
507	19101	41061
508	19138	41022
509	19176	40984
510	19211	40942
511	19245	40895
512	19280	40852
513	19314	40808
514	19352	40771
515	19386	40726
516	19419	40679
517	19455	40638
518	19491	40597
519	19524	40551
520	19557	40504
521	19596	40468
522	19630	40425
523	19669	40390
524	19706	40351
525	19741	40309
526	19775	40264
527	19813	40227
528	19848	40183
529	19886	40147
530	19919	40101
531	19955	40060
532	19991	40020
533	20025	39976
534	20059	39932
535	20095	39890
536	20129	39847
537	20164	39804
538	20201	39766
539	20237	39724
540	20274	39686
541	20309	39644
542	20344	39601
543	20378	39557
544	20414	39517
545	20450	39477
546	20485	39434
547	20520	39394
548	20557	39355
549	20596	39320
550	20629	39274
551	20667	39238
552	20702	39197
553	20737	39153
554	20773	39113
555	20810	39076
556	20848	39039
557	20884	38998
558	20920	38959
559	20955	38917
560	20991	38877
561	21029	38840
562	21062	38794
563	21096	38751
564	21129	38706
565	21166	38667
566	21199	38622
567	21234	38580
568	21270	38541
569	21304	38497
570	21336	38451
571	21370	38407
572	21404	38364
573	21441	38324
574	21475	38282
575	21512	38244
576	21549	38205
577	21585	38166
578	21623	38129
579	21659	38090
580	21692	38046
581	21726	38002
582	21760	37959
583	21795	37918
584	21829	37875
585	21862	37830
586	21897	37789
587	21930	37744
588	21964	37701
589	22001	37663
590	22038	37626
591	22073	37584
592	22107	37541
593	22142	37500
594	22178	37461
595	22214	37420
596	22250	37381
597	22288	37345
598	22323	37305
