iter	RMSE
124	0.7340061933
125	0.7339650619
126	0.7339233688
127	0.7338817092
128	0.7338360886
129	0.7337928117
130	0.7337216808
131	0.7336799051
132	0.7336177761
133	0.7335760407
134	0.7335198153
135	0.7334774544
136	0.7334413256
137	0.7333543189
138	0.7333007113
139	0.7332684656
140	0.7332115881
141	0.7331723271
142	0.7331279194
143	0.7330910977
144	0.7330488492
145	0.733020078
146	0.7329517743
147	0.7329145418
148	0.7328822499
149	0.7328446681
150	0.7327903011
151	0.7327003112
152	0.732630536
153	0.7325973882
154	0.7325623407
155	0.7325309417
156	0.7324985577
157	0.7324661551
158	0.7324330162
159	0.7324050986
160	0.7323474105
161	0.7323092195
162	0.7322755271
163	0.7322466569
164	0.7322151382
165	0.73217305
166	0.7321480771
167	0.7321195856
168	0.7320933421
169	0.7320596741
170	0.7320223746
171	0.7319710627
172	0.7319201141
173	0.731853373
174	0.7318186846
175	0.7317840382
176	0.7317574539
177	0.7317065514
178	0.7316772701
179	0.731636443
180	0.7315642155
181	0.7315317344
182	0.7314881947
183	0.7314519637
184	0.731417413
185	0.7313792562
186	0.7313127731
187	0.7312921456
188	0.7312563501
189	0.7312268062
190	0.7311959324
191	0.7311671365
192	0.7311188592
193	0.7310915549
194	0.7310717707
195	0.7310455837
196	0.7309949381
197	0.7309728105
198	0.730946402
199	0.7309235797
200	0.730879501
201	0.7308494417
202	0.73082574
203	0.7308031728
204	0.7307795217
205	0.7307593135
206	0.7307359858
207	0.7306907522
208	0.7306661111
209	0.7306371448
210	0.7305833861
211	0.7305551334
212	0.730524918
213	0.7304955245
214	0.7304755035
215	0.7304297982
216	0.7304055408
217	0.7303776966
218	0.7303548654
219	0.7303085248
220	0.730269478
221	0.7302310681
222	0.7301927252
223	0.7301661006
224	0.7301297005
225	0.7301084649
226	0.730083526
227	0.7300607241
228	0.7300366575
229	0.7299973715
230	0.7299729239
231	0.7299474816
232	0.7299180856
233	0.7298931539
234	0.7298626488
235	0.7298453682
236	0.729819227
237	0.7297967529
238	0.7297762013
239	0.7297569431
240	0.7297363827
241	0.7297175717
242	0.7296999635
243	0.7296746019
244	0.7296535929
245	0.7296324774
246	0.7296129124
247	0.7295929938
248	0.7295721789
249	0.7295547343
250	0.7295350295
251	0.729509278
252	0.7294931826
253	0.729473405
254	0.7294500909
255	0.7294290862
256	0.7293971388
257	0.7293778419
258	0.7293468842
259	0.7293263215
260	0.7292789917
261	0.7292311421
262	0.7291957998
263	0.7291736267
264	0.7291380994
265	0.7291079846
266	0.7290868286
